userId,Talks_Participation_19_20,lastSubmit,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Fav_Coding_Drink,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Covid_Productivity,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
0HqWgGI6I9aj6XImT7kYLUV9CN82,0,1603217294373,"['TypeScript', 'Go']",Yes,['Academic defined subjects (system)'],Coffee,['Not Sure'],['I am maintaining my own project'],"['React.js', 'Express']",,Startup,1-3 years,"['JavaScript', 'Java', 'Dart']",Li ja bismilah,For learning,"['Node.js', 'Flutter']",Thinking of it.,,Morocco,Male,,['YouTube'],Windows,"Developer, back-end",,"['Spring Ecosystem', 'Next']",Both,,Enough to start,,"['JavaScript', 'Java']",Good,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603216692824,Once a decade,0,Yes,['TensorFlow'],,"['Office environment or company culture', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'Salary']",Student,"['Arabic', 'French']",Yes,20 to 24 years
0II4520uP9cAq1AmBfG1w23Iwh23,,1603309240536,,Yes,['Teachers'],Water,,,,,,Less than 1 year,,,,,,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Blog posts']",,"Developer, back-end",,,Spoken,,Not enough,,,,,,Self-taught,,,1603309119961,,,Yes,,,,,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
0LPyY2BTi5eKfPudpwWkJha5NSs1,0,1603643132313,['Kotlin'],Yes,['Academic defined subjects (system)'],Water,['Full Cloud'],['I am maintaining my own project'],"['jQuery', 'Angular', 'Spring Ecosystem']",0 months,Multinational company,3-5 years,"['JavaScript', 'Java', 'TypeScript']",Li ja bismilah,For profit,['Cordova'],Thinking of it.,13 000 - 15 000,Morocco,Male,Yes,"['Paid platforms', 'Books', 'Official documentation']",Windows,"Developer, full-stack",The current Pandemic boosted very positively my productivity,['React.js'],No,The company started remote after covid,Not enough,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'TypeScript']",Not Bad,"['Google it', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603642477863,Once a year,1-3,Yes,"['React Native', 'Ansible']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule']",Employed full-time,"['Arabic', 'French', 'English']",No,30 to 34 years
0LsINpwPlhY8uMguzp47L9oBKjZ2,,1603413356219,,Yes,['Academic defined subjects (system)'],Water,,,,,,1-3 years,,,,,,,Morocco,Male,No,"['YouTube', 'Official documentation', 'Blog posts']",,"Developer, full-stack",,,Both,,Enough to start,,,,,,Bac +2,,,1603438098038,,,Yes,,,,,"['Arabic', 'French', 'English']",Yes,20 to 24 years
0MyJddTVmbQemuZsUBy0RiqnwRq1,0,1603832484963,"['C++', 'C']",Yes,"['Students', 'Teachers', 'Companies engagement with academia']",Coffee,['Hybrid Cloud'],['I am maintaining my own project'],"['ASP.NET', 'ASP.NET Core']",Less than 1 year,Medium company,3-5 years,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Li ja bismilah,NO,['.NET'],Yes more than 10 blog posts,20 000 - 25 000,Europe,Male,Yes,"['Books', 'Official documentation', 'Blog posts']",Windows + WSL2,"Developer, back-end",The current Pandemic did not impact my productivity,['React.js'],No,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['VS Code', 'Other']",NO,1603831994310,Once every few years,0,Yes,['Other'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0SykDxKTqnSgkDbiwPTHvQpnyvd2,0,1603237090984,"['Python', 'Kotlin']",Yes,['Companies engagement with academia'],Water,['Full Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'Angular', 'Vue.js', 'Laravel', 'Next']",0 months,Medium company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'PHP', 'TypeScript', 'C++']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,8 000 - 10 000,Morocco,Male,No,['Others'],MacOS,"Developer, front-end",,"['React.js', 'Django']",Written/Read,,Enough to start,,"['JavaScript', 'HTML/CSS  😉', 'Java', 'TypeScript']",Good,"['Google it', 'Stackoverflow']",Yes,Bac +5,"['VS Code', 'Sublime']",NO,1603237106034,Once a year,0,Yes,"['TensorFlow', 'Other']",Very satisfied,"['Opportunities for professional development', 'Salary']",Employed full-time,['Arabic'],No,25 to 29 years
0T3C9hUC8BfEQXAF1laAWpXWSki1,0,1603285659106,['Java'],Yes,"['Students', 'Teachers']",Water,['Full Cloud'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],Few months,Medium company,Less than 1 year,['Java'],Li ja bismilah,NO,['Other'],Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['Books', 'Official documentation', 'Blog posts', 'Company resources']",MacOS,"Developer, back-end",The current Pandemic somehow impacted negatively my productivity,['Spring Ecosystem'],Both,The company started remote after covid,Enough to start,,['Java'],Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603285158251,Every few months,More than 3,Yes,['Other'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'How widely used or impactful my work output would be', 'The industry that I’d be working in']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
0VLsHlg5bHaW5JmXgiPAsBcLEAx1,0,1603222575020,"['Python', 'TypeScript', 'Go', 'Kotlin']",Yes,['Companies engagement with academia'],Coffee,['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Java', 'C#', 'C++']",Li ja bismilah,For learning,['Other'],Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation', 'Blog posts']",Windows,"Developer, full-stack",The current Pandemic somehow boosted my productivity,"['React.js', 'Express', 'Gatsby', 'Next']",Both,,Enough to start,,"['JavaScript', 'HTML/CSS  😉', 'Java']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +5,"['VS Code', 'Eclipse', 'Vim']",Yes,1603222073119,Every few months,1-3,Yes,"['Node.js', 'React Native', 'Flutter']",,['Opportunities for professional development'],Student,"['Arabic', 'French', 'English']",Yes,20 to 24 years
0WVZjdlDRtWOWcqAUNVgke5GZEM2,0,1603644281861,"['JavaScript', 'Python', 'C#', 'TypeScript', 'Go', 'Ruby', 'Dart']",Yes,['Teachers'],None,['Not Sure'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js']",,Startup,1-3 years,['C'],Li ja bismilah,For learning,"['Node.js', 'Unity 3D']","No, I am not interested.",,Morocco,Male,Yes,['YouTube'],Windows,Educator,,"['React.js', 'Vue.js', 'Django', 'Laravel']",Both,,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'Python', 'Java', 'PHP', 'C++', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Netbeans']",NO,1603643626779,Every few months,1-3,No,"['Node.js', '.NET', 'Pandas', 'TensorFlow', 'React Native', 'Unity 3D', 'Flutter', 'Keras']",,['Opportunities for professional development'],Student,['Arabic'],No,20 to 24 years
0WgkhtkRVMN9KalxGAnT2aTSeXW2,1 - 3 talks,1603214395749,['Kotlin'],Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",Water,"['Full Cloud', 'Hybrid Cloud']","['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Laravel']",0 months,Multinational company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'C#', 'PHP', 'C++', 'C', 'Swift']",Live/online events,For profit,['React Native'],Yes more than 10 blog posts,> 25 000,Europe,Male,No,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,Academic researcher,The current Pandemic boosted very positively my productivity,['Next'],Both,We were doing remote before,Everything I needed,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Python']",Not Bad,"['Google it', 'Stackoverflow', 'Call a coworker or friend']",Yes,Bac +2,['VS Code'],I don’t know Facebook Developer circles,1603213963228,Every few months,0,Yes,['.NET'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'Amazigh', 'French', 'English', 'Others']",No,15 to 19 years
0XBu2KjA3UhFYE6Yl2nc8aQ9j1h2,0,1603228703554,"['TypeScript', 'Dart']",Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",Water,['Not Sure'],['I am maintaining my own project'],"['React.js', 'Laravel']",More than 1 year,Freelance,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'Python', 'PHP']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,6 000 - 8 000,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation']",Linux-based,"Developer, full-stack",The current Pandemic did not impact my productivity,"['Vue.js', 'Django', 'Gatsby', 'Next']",Both,No remote policy yet,Enough to start,Never,['JavaScript'],Excellent,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",NO,Bac +2,"['VS Code', 'Sublime']",Yes,1603228004761,Every few months,1-3,No,['Flutter'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Opportunities for professional development']",Looking for work,"['Arabic', 'French', 'English', 'Others']",Yes,20 to 24 years
0bNpLtyexGh7CYfUioZvjXCopj92,,1603809103308,,Yes,"['Teachers', 'Academic defined subjects (system)']",Water,,,,,,Less than 1 year,,,,,,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation', 'Blog posts']",,"Developer, front-end",,,Both,,Not enough,,,,,,Bac +5,,,1603808957724,,,Yes,,,,,"['Arabic', 'French', 'English']",No,20 to 24 years
0bmgDQePWzRWIkwpXnO7tGgqGMx2,0,1603233821962,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C#', 'Swift', 'Objective-C']",No,"['Academic defined subjects (system)', 'Companies engagement with academia']",Coffee,['Hybrid Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Django', 'Laravel', 'Other']",More than 1 year,Multinational company,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C#', 'Swift', 'Objective-C']",Li ja bismilah,For learning,"['Node.js', '.NET']",Yes more than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Blog posts', 'Company resources', 'Others']",MacOS,Designer,The current Pandemic somehow boosted my productivity,"['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Flask', 'Laravel', 'Gatsby']",Both,No remote policy yet,Enough to start,Often: 1-2 days per week or more,['Other'],Good,"['Google it', 'Stackoverflow']",NO,Bac +3,"['VS Code', 'Eclipse', 'Atom']",I don’t know Facebook Developer circles,1603233367634,Once every few years,0,Yes,"['Node.js', '.NET']",Very dissatisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'The industry that I’d be working in']",Student,"['Arabic', 'French', 'English', 'Others']",No,20 to 24 years
0gj2jnoxmWPajW2hbOeKzzIAlSV2,0,1603209498223,"['TypeScript', 'Go', 'Dart']",Yes,['Students'],Coffee,['shared hosting'],['I am maintaining my own project'],['Vue.js'],,Multinational company,Less than 1 year,"['Python', 'Java']",In-person events?,NO,['Node.js'],"No, I am not interested.",8 000 - 10 000,Morocco,Male,No,['Books'],Windows,"Developer, full-stack",,"['React.js', 'Angular', 'Django']",Spoken,No remote policy yet,Not enough,,['JavaScript'],Good,"['Google it', 'Stackoverflow']",NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",NO,1603208903180,Once a year,0,Yes,"['React Native', 'Unity 3D', 'Flutter']",Very satisfied,['Salary'],Student,['Amazigh'],Yes,20 to 24 years
0k5qvcZhcQgZ3RbgPaGr4e2c9Pt2,,1603462153769,,Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",Coffee,,,,More than 1 year,Startup,5-10 years,,,For profit,,,,Morocco,Male,No,['Official documentation'],,"Developer, full-stack",The current Pandemic did not impact my productivity,,Both,,Not enough,Never,,,,,Self-taught,,,1603462212810,,,Yes,,,"['Flex time or a flexible schedule', 'Salary']",Looking for work,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0oHTA5fcoQfdyQjHKoZn1C79WKg2,0,1603276729184,['JavaScript'],No,['Companies engagement with academia'],Coffee,['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],More than 1 year,Freelance,1-3 years,"['JavaScript', 'Python', 'Java']",Li ja bismilah,NO,['Other'],Thinking of it.,10 000 - 13 000,Morocco,Female,Yes,['Others'],Windows,Designer,The current Pandemic somehow boosted my productivity,['Angular'],No,The company started remote after covid,Not enough,Sometimes: 1-2 days per month but less than weekly,['Other'],Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +5,['Other'],I don’t know Facebook Developer circles,1603276734815,Once every few years,1-3,Yes,['Other'],Slightly satisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0pcIK5L3lie77GJbTM5qiDYp8qb2,,1603309952961,,Yes,['Academic defined subjects (system)'],Coffee,,,,,,Less than 1 year,,,,,,,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation']",,Scientist,,,No,,Enough to start,,,,,,Bac +3,,,1603309833623,,,Yes,,,,,"['Arabic', 'Amazigh', 'French', 'English', 'Others']",No,20 to 24 years
0rxGAG3sRjfdp4bZvU0GNpNxpLi1,0,1603439931824,"['Python', 'TypeScript', 'Kotlin']",Yes,"['Students', 'Academic defined subjects (system)', 'Companies engagement with academia']",Coffee,"['shared hosting', 'Managed PaaS (heroku, app platform ...)']","['Yes, few PRs in multiple projects']","['jQuery', 'Symfony']",0 months,Multinational company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Bash/Shell/PowerShell', 'C#', 'PHP', 'C', 'Dart']",In-person events?,For learning,['Flutter'],"No, I am not interested.",< 6 000,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Company resources']",MacOS,"Developer, full-stack",The current Pandemic somehow boosted my productivity,"['React.js', 'Angular', 'Vue.js', 'Django', 'Laravel']",Both,We were doing remote before,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL']",Good,"['Google it', 'Stackoverflow']",NO,Bac +2,['VS Code'],Yes,1603439450007,Every few months,1-3,Yes,"['Node.js', 'React Native']",Slightly satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'The industry that I’d be working in']","Freelancer, or self-employed","['Arabic', 'French', 'English']",Yes,20 to 24 years
0t2invA3HgPd0aBNJdpqx13Piwl2,0,1603370461781,"['Python', 'Java']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",None,['Not Sure'],['I am maintaining my own project'],['React.js'],,Medium company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'Bash/Shell/PowerShell', 'TypeScript']",Li ja bismilah,For learning,['Other'],"No, I am not interested.",,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts']",Windows,"Developer, front-end",,['Express'],Both,,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Self-taught,['VS Code'],Yes,1603370490883,Once a decade,0,Yes,['Other'],,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options', 'Salary']",Student,"['Arabic', 'French', 'English']",Yes,15 to 19 years
10cy6rc6U3f3YhbFJraM4ip2hBy1,,1603404517878,,No,"['Students', 'Academic defined subjects (system)']",Coffee,,,,,,1-3 years,,,,,,,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts']",,"Developer, front-end",,,Spoken,,Not enough,,,,,,Bac +2,,,1603404343118,,,No,,,,,"['Arabic', 'English']",No,25 to 29 years
